"cruiseID","station","time","lat","lon","temp","sal","depth","ODO_molL","ODO_perc","turb","chla","sigma0"
"V2108","TA7","02-Aug-2021 22:37:23",77.94948,-78.29783,-0.717478434244792,31.4523366292318,18.25,386.735382080078,103.27092107137,1.623046875,0.290364583333333,25.2742207047932
"V2108","TA7","02-Aug-2021 22:37:24",77.94948,-78.29783,-0.732630411783854,31.4579385121663,18.75,386.133646647135,103.072291056315,1.490478515625,0.291514078776042,25.2792518470731
"V2108","TA7","02-Aug-2021 22:37:25",77.94948,-78.29783,-0.704640706380208,31.4757394790649,19.25,385.291295369466,102.937582651774,1.48929850260417,0.267832438151042,25.2926982049189
"V2108","TA7","02-Aug-2021 22:37:25",77.94948,-78.29783,-0.693598429361979,31.4883146286011,19.75,386.346471150716,103.259170532227,1.39375813802083,0.263753255208333,25.302484564271
"V2108","TA7","02-Aug-2021 22:37:26",77.94948,-78.29783,-0.694244384765625,31.5062844412667,20.25,386.065965924944,103.195351736886,1.46397181919643,0.271092006138393,25.3170374988272
"V2108","TA7","02-Aug-2021 22:37:27",77.94948,-78.29783,-0.648737589518229,31.5098180770874,20.75,386.128041585286,103.340609232585,1.32609049479167,0.223795572916667,25.3183375093206
"V2108","TA7","02-Aug-2021 22:37:28",77.94948,-78.29783,-0.633396693638393,31.5136244637626,21.25,386.863311767578,103.582696097238,1.37813895089286,0.237112862723214,25.3208893644212
"V2108","TA7","02-Aug-2021 22:37:29",77.94948,-78.29783,-0.562871297200521,31.511744817098,21.75,386.421615600586,103.658823649089,1.2388916015625,0.218831380208333,25.3168787999682
"V2108","TA7","02-Aug-2021 22:37:29",77.94948,-78.29783,-0.255915323893229,31.5293153127034,22.25,387.228408813477,104.743426005046,0.963826497395833,0.203572591145833,25.3193800421857
"V2108","TA7","02-Aug-2021 22:37:30",77.94948,-78.29783,-0.441106160481771,31.5584853490194,22.75,388.292526245117,104.534069061279,1.01350911458333,0.183705647786458,25.350171870741
"V2108","TA7","02-Aug-2021 22:37:31",77.94948,-78.29783,-0.469312395368304,31.62115750994,23.25,389.706172398158,104.881577627999,1.09486607142857,0.1834716796875,25.4018713696767
"V2108","TA7","02-Aug-2021 22:37:32",77.94948,-78.29783,-0.556737263997396,31.6577142079671,23.75,391.139149983724,105.048159281413,1.16451009114583,0.187835693359375,25.4346571800454
"V2108","TA7","02-Aug-2021 22:37:33",77.94948,-78.29783,-0.594711303710938,31.6636244455973,24.25,390.934234619141,104.89072672526,1.17618815104167,0.191172281901042,25.4408196338482
"V2108","TA7","02-Aug-2021 22:37:33",77.94948,-78.29783,-0.610395159040179,31.6695962633405,24.75,390.119210379464,104.632452828544,1.19681222098214,0.165274483816964,25.4462189873291
"V2108","TA7","02-Aug-2021 22:37:34",77.94948,-78.29783,-0.638161795479911,31.6972577231271,25.25,389.461595807757,104.398444039481,1.21944754464286,0.165963309151786,25.4695779785052
"V2108","TA7","02-Aug-2021 22:37:36",77.94948,-78.29783,-0.567160034179688,31.7430152893066,25.75,388.308758544922,104.320690917969,1.178759765625,0.177935791015625,25.5040128023579
"V2108","TA7","02-Aug-2021 22:37:38",77.94948,-78.29783,-0.521575927734375,31.7599233899798,26.25,388.179312569754,104.425585065569,1.12629045758929,0.165030343191964,25.5160011013329
"V2108","TA7","02-Aug-2021 22:37:38",77.94948,-78.29783,-0.505340576171875,31.768055507115,26.75,388.097159249442,104.454732622419,1.26234654017857,0.187883649553571,25.5219739429494
"V2108","TA7","02-Aug-2021 22:37:39",77.94948,-78.29783,-0.494959513346354,31.7816603978475,27.25,388.908477783203,104.711999257406,1.07840983072917,0.153635660807292,25.5325850956085
"V2108","TA7","02-Aug-2021 22:37:40",77.94948,-78.29783,-0.495480007595486,31.7957793341743,27.75,389.851172553168,104.974721272786,0.955729166666667,0.156168619791667,25.5440218735171
"V2108","TA7","02-Aug-2021 22:37:41",77.94948,-78.29783,-0.499884033203125,31.8019981384277,28.25,390.396575927734,105.113726806641,0.960888671875,0.1501220703125,25.5492224669799
"V2108","TA7","02-Aug-2021 22:37:42",77.94948,-78.29783,-0.496734619140625,31.8176142374674,28.75,390.537709554036,105.17200978597,0.933553059895833,0.149139404296875,25.561730422042
"V2108","TA7","02-Aug-2021 22:37:43",77.94948,-78.29783,-0.480367024739583,31.8219496409098,29.25,390.707260131836,105.2668800354,0.930257161458333,0.151906331380208,25.564621788383
